Task ID,Type,Time,Variables,Clauses,Resources Consumed,Start Time,End Time
0,BCC,308,4933,1401234,None,29,337
1,BCC,10,4933,1401234,R0: -3,45,55
2,BCC,1,4933,1401234,None,58,59
3,BCC,20,4933,1401234,"R0: -3, R1: -3, R2: -3",150,170
4,BCC,2,4933,1401234,"R0: -3, R3: -3, R4: -3",170,172
5,BCC,5,4933,1401234,"R0: -3, R3: -3, R4: -3",227,232
6,BCC,1,4933,1401234,None,233,234
